field_1,zip_code,311byzip,FWbyzip,zip_real,fwbyzip2,fwbyzip3,firework%,real_311_complaints
"0","83.0","1",,"83",,"0","0","1"
"1","10000.0","47","1.0","10000","1","1","2","47"
"2","10001.0","980","1.0","10001","1","1","0","980"
"3","10002.0","2439","79.0","10002","79","79","3","2439"
"4","10003.0","1593","18.0","10003","18","18","1","1593"
"5","10004.0","149","4.0","10004","4","4","3","149"
"6","10005.0","112","1.0","10005","1","1","1","112"
"7","10006.0","58","3.0","10006","3","3","5","58"
"8","10007.0","230","5.0","10007","5","5","2","230"
"9","10009.0","1871","60.0","10009","60","60","3","1871"
"10","10010.0","722","6.0","10010","6","6","1","722"
"11","10011.0","2241","44.0","10011","44","44","2","2241"
"12","10012.0","882","6.0","10012","6","6","1","882"
"13","10013.0","776","3.0","10013","3","3","0","776"
"14","10014.0","1399","5.0","10014","5","5","0","1399"
"15","10016.0","1239","7.0","10016","7","7","1","1239"
"16","10017.0","357","2.0","10017","2","2","1","357"
"17","10018.0","334","1.0","10018","1","1","0","334"
"18","10019.0","1370","9.0","10019","9","9","1","1370"
"19","10020.0","14",,"10020",,"0","0","14"
"20","10021.0","453","1.0","10021","1","1","0","453"
"21","10022.0","645","3.0","10022","3","3","0","645"
"22","10023.0","1928","7.0","10023","7","7","0","1928"
"23","10024.0","1183","18.0","10024","18","18","2","1183"
"24","10025.0","2138","91.0","10025","91","91","4","2138"
"25","10026.0","1936","233.0","10026","233","233","12","1936"
"26","10027.0","2089","170.0","10027","170","170","8","2089"
"27","10028.0","817","4.0","10028","4","4","0","817"
"28","10029.0","1866","101.0","10029","101","101","5","1866"
"29","10030.0","1329","156.0","10030","156","156","12","1329"
"30","10031.0","3435","459.0","10031","459","459","13","3435"
"31","10032.0","3479","475.0","10032","475","475","14","3479"
"32","10033.0","2564","264.0","10033","264","264","10","2564"
"33","10034.0","2913","258.0","10034","258","258","9","2913"
"34","10035.0","1035","76.0","10035","76","76","7","1035"
"35","10036.0","896","5.0","10036","5","5","1","896"
"36","10037.0","927","209.0","10037","209","209","23","927"
"37","10038.0","411","23.0","10038","23","23","6","411"
"38","10039.0","1169","58.0","10039","58","58","5","1169"
"39","10040.0","3051","394.0","10040","394","394","13","3051"
"40","10041.0","1",,"10041",,"0","0","1"
"41","10044.0","38",,"10044",,"0","0","38"
"42","10048.0","2","1.0","10048","1","1","50","2"
"43","10065.0","401",,"10065",,"0","0","401"
"44","10069.0","33",,"10069",,"0","0","33"
"45","10075.0","380","2.0","10075","2","2","1","380"
"46","10103.0","7",,"10103",,"0","0","7"
"47","10105.0","5",,"10105",,"0","0","5"
"48","10107.0","1",,"10107",,"0","0","1"
"49","10110.0","2",,"10110",,"0","0","2"
"50","10111.0","1",,"10111",,"0","0","1"
"51","10112.0","1",,"10112",,"0","0","1"
"52","10115.0","1",,"10115",,"0","0","1"
"53","10118.0","6",,"10118",,"0","0","6"
"54","10120.0","1",,"10120",,"0","0","1"
"55","10121.0","28","1.0","10121","1","1","4","28"
"56","10122.0","1",,"10122",,"0","0","1"
"57","10123.0","3",,"10123",,"0","0","3"
"58","10128.0","673","41.0","10128","41","41","6","673"
"59","10151.0","3",,"10151",,"0","0","3"
"60","10153.0","15",,"10153",,"0","0","15"
"61","10155.0","1",,"10155",,"0","0","1"
"62","10158.0","5",,"10158",,"0","0","5"
"63","10162.0","13",,"10162",,"0","0","13"
"64","10165.0","7",,"10165",,"0","0","7"
"65","10167.0","1",,"10167",,"0","0","1"
"66","10168.0","1",,"10168",,"0","0","1"
"67","10169.0","27",,"10169",,"0","0","27"
"68","10170.0","1",,"10170",,"0","0","1"
"69","10172.0","3",,"10172",,"0","0","3"
"70","10173.0","7",,"10173",,"0","0","7"
"71","10177.0","1",,"10177",,"0","0","1"
"72","10271.0","2",,"10271",,"0","0","2"
"73","10278.0","3",,"10278",,"0","0","3"
"74","10279.0","4",,"10279",,"0","0","4"
"75","10280.0","59","1.0","10280","1","1","2","59"
"76","10281.0","9","1.0","10281","1","1","11","9"
"77","10282.0","28",,"10282",,"0","0","28"
"78","10301.0","1113","62.0","10301","62","62","6","1113"
"79","10302.0","529","12.0","10302","12","12","2","529"
"80","10303.0","676","14.0","10303","14","14","2","676"
